shipmentId,orderId,customerName,customerAddress,customerPhone,shippingDate,deliveryDate,shipmentStatus,carrierName,trackingNumber,shippingMethod,weight,dimensions,originAddress,destinationAddress,shipmentCost,insurance,specialInstructions,remarks
db8fb608-e9cd-43b8-878b-50b675347f35,1ee9d396-2848-42be-8993-e4b29d58c42d,Kathy Evans,"10562 Kristina Trail
Port Josephmouth, FL 66739",456-663-9851x514,2024-01-23,2024-07-06,Pending,FedEx,3185125d-dd50-4fed-8006-5d8fb15253f4,Express,36.04,56.62x58.73x30.59,"Unit 7369 Box 8068
DPO AA 49719","1067 Jennifer Trace Apt. 534
Sanchezburgh, WA 81558",164.21,None,Let want side look sense against similar else.,Officer agent news senior computer sometimes individual industry time mean tough strategy college.
c49753d1-9130-47d0-8fbf-0df257bc68bf,a49e2ded-c377-4247-8a7a-ffaa3bb0ca46,Adriana Weaver,"83739 Mendoza Lock Apt. 181
Port Tracy, CA 20206",001-640-808-9653x0122,2024-02-06,2024-04-05,Delivered,FedEx,78e92416-507a-4e0b-a91d-bcd1c4ea33d8,Express,48.61,12.77x68.0x92.2,"61184 Leslie Roads Apt. 405
Port Martin, SC 64023","50777 Vicki Shoal
Sharonmouth, MS 72520",191.87,Premium,Perform or drug exist sometimes purpose.,Need friend high newspaper score surface hold allow age should whatever when future.
0ca92c2e-436e-45e5-815b-06a500cf83e8,e4072ecd-a9bf-4f7a-93f0-da02298f7c89,Christopher Harris,"PSC 0490, Box 9340
APO AP 09287",682-538-7803,2024-04-30,2024-08-11,In Transit,USPS,9057f52b-e044-4736-9d0e-48de902da013,Standard,20.74,89.41x99.7x13.43,"982 Russell Loaf
Rothhaven, SD 77989","7605 Nguyen Streets Suite 510
Blackwellburgh, PR 45778",344.08,Premium,Music attention my spend piece up.,Especially piece artist believe language find.
d399fb8f-791b-49ec-987c-463787f0c97f,424ba1f1-1162-433b-8219-ec5db4495f69,Anna Newton,"0265 Christian Mountains Apt. 862
East Bradleyhaven, AK 72259",836.895.4947,2024-03-15,2024-04-15,In Transit,UPS,be310358-5d4e-4d52-9e94-5686d977d2fc,Overnight,19.56,10.93x95.38x53.37,"65237 Costa Street
Morganchester, KY 75722","3743 Victoria Keys Suite 437
New Arthur, WY 21177",293.09,Premium,Still television language.,Smile pay never eat shoulder name food guess protect.
73f318d7-aa8d-49a0-8077-dbac49fd4eb7,8d2bc453-92fb-406d-aa1a-972b00af8249,Jasmine Jones,"621 Susan Cliffs Suite 930
Lake Kevinside, VI 63462",884-477-8527x348,2024-06-18,2024-07-24,Delivered,USPS,8c4245b2-9a46-4ba9-9d2c-2b94498c8c9f,Express,46.86,96.6x65.14x99.26,"996 Donna Ranch Apt. 309
Nelsonchester, AL 19991","60183 Stephanie Landing Apt. 363
East Joshuachester, CT 75222",469.89,None,Wear indeed station knowledge.,Performance skin center blue lose down present.
b2c0df55-1819-4597-b99a-f86c0bd247df,90e1cc36-d2c6-4386-bfdb-7be98329f72a,David Reynolds,"4100 Henry Cliff Suite 285
Justinburgh, GA 88260",799-606-0250,2024-04-22,2024-06-05,Delayed,USPS,f94f47f0-3102-4b5b-81c4-dcf965144816,Standard,12.96,68.61x85.11x59.51,"857 Rebecca Street Suite 667
Lake Beth, TN 07241","8771 Bates Freeway
South Richardmouth, MP 16452",195.94,Basic,Population social those station pay.,Part goal color today change situation concern two.
e44598ae-d4e5-442b-8929-3b612c73c3cb,19f3f1f7-2ca8-4cc7-9e3c-7b62fec63817,Jonathan Martinez,"54177 Jessica Mission
Brownton, MA 75716",5464368260,2024-04-06,2024-08-16,Pending,UPS,e001fdb9-1d37-4669-a4a2-1f76eccbb55e,Standard,28.39,68.5x88.44x11.85,"2962 Miles Overpass
Mcbridestad, MT 69414","6719 Ashley Stravenue Suite 423
New Franktown, GU 22164",181.59,Premium,Budget wall imagine whatever.,Surface book number north voice dark since history cut price capital whose.
1675c0f2-b874-4fc5-99f9-b75147b9f0da,904ee401-d41b-4f0a-9421-aa29972cd456,Tracy Johnson,"21826 Philip Points
Port Jonathan, CO 06804",777.918.1867x2641,2024-03-05,2024-07-04,Delayed,USPS,73fe6b3b-3734-4a26-aba4-8c4ca2d74016,Standard,11.08,34.48x76.33x23.83,"30353 Gloria Extensions
Lisaberg, NJ 01582","6929 Kelly Rest
Lake Christopher, MH 46973",69.97,Premium,Others bring class million whose staff adult.,Religious catch natural money necessary program city color place get human blood as.
cbfbc7e2-a995-4350-bbee-7c4856ff5e3c,f4d419c4-ab99-4556-bf12-946eaac6e070,Patrick Robles,"65701 Rebecca Greens Suite 543
Lake Jerry, MH 45752",(415)702-2268,2024-06-10,2024-06-15,In Transit,USPS,652184e9-7db7-4f9f-891e-596f80dd291e,Express,9.85,64.4x83.33x34.42,"0344 John Junction
Sheilaton, DE 76347","3090 Hughes Mews Suite 344
Port Melissashire, MO 64413",263.24,Premium,Fly wrong state consider.,Gun teacher election establish great everything trial debate prepare report skin may particular.
76bb331b-d5f4-4a42-be08-bb24f25bc639,1c1ee583-359f-4039-a14f-91a43ea54f99,Natalie White,"USS Dawson
FPO AA 06177",+1-803-316-6428,2024-02-12,2024-06-22,In Transit,DHL,98fbcd7f-e4ca-407e-9a60-3b700658d7c2,Express,38.01,59.23x59.62x36.17,"16452 Anthony Forges Apt. 519
South Tina, GA 08305","87891 Alejandra Falls
East Loriburgh, WV 88829",212.09,Premium,Practice effort heavy front sport particular house whose.,Green camera right yard involve thank reason all letter return.
